Platform,Attack,Layer,Defense,Attacker,Workload,ASR,DDR,FPR_D,PEP,ASupR,DOI
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Adaptive,Medium,0.68,0.132,0.026,0.0,0.53,1.15
P1,A2_Alert_Crafting,Data,D3_Response_Verification,Adaptive,High,0.738,0.132,0.03,0.0,0.568,1.21
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Static,Low,0.55,0.188,0.016,0.0,0.39,1.07
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Static,Medium,0.566,0.188,0.016,0.0,0.432,1.12
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Static,High,0.612,0.188,0.018,0.0,0.47,1.18
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Defense_Aware,Low,0.594,0.144,0.016,0.0,0.46,1.07
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Defense_Aware,Medium,0.634,0.144,0.016,0.0,0.492,1.12
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Defense_Aware,High,0.674,0.144,0.018,0.0,0.524,1.18
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Adaptive,Low,0.666,0.096,0.016,0.0,0.512,1.07
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Adaptive,Medium,0.702,0.096,0.016,0.0,0.548,1.12
P1,A2_Alert_Crafting,Data,D4_Agent_Isolation,Adaptive,High,0.778,0.096,0.018,0.0,0.596,1.18
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Static,Low,0.496,0.228,0.058,0.0,0.364,1.16
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Static,Medium,0.536,0.228,0.06,0.0,0.402,1.21
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Static,High,0.576,0.228,0.068,0.0,0.44,1.27
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Defense_Aware,Low,0.564,0.196,0.058,0.0,0.424,1.16
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Defense_Aware,Medium,0.6,0.196,0.06,0.0,0.46,1.21
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Defense_Aware,High,0.638,0.196,0.068,0.0,0.49,1.27
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Adaptive,Low,0.63,0.152,0.058,0.0,0.486,1.16
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Adaptive,Medium,0.668,0.152,0.06,0.0,0.514,1.21
P1,A2_Alert_Crafting,Data,D5_Consensus_Protocol,Adaptive,High,0.716,0.152,0.068,0.0,0.554,1.27
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Static,Low,0.558,0.192,0.04,0.0,0.416,1.05
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Static,Medium,0.58,0.192,0.042,0.0,0.452,1.1
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Static,High,0.632,0.192,0.044,0.0,0.484,1.16
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Defense_Aware,Low,0.614,0.15,0.04,0.0,0.474,1.05
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Defense_Aware,Medium,0.654,0.15,0.042,0.0,0.498,1.1
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Defense_Aware,High,0.692,0.15,0.044,0.0,0.544,1.16
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Adaptive,Low,0.682,0.1,0.04,0.0,0.532,1.05
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Adaptive,Medium,0.73,0.1,0.042,0.0,0.566,1.1
P1,A2_Alert_Crafting,Data,D6_Behavioral_Monitor,Adaptive,High,0.806,0.1,0.044,0.0,0.608,1.16
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Static,Low,0.296,0.336,0.084,0.0,0.228,1.26
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Static,Medium,0.352,0.336,0.084,0.0,0.248,1.31
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Static,High,0.414,0.336,0.09,0.0,0.292,1.37
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Defense_Aware,Low,0.396,0.304,0.084,0.0,0.29,1.26
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Defense_Aware,Medium,0.444,0.304,0.084,0.0,0.314,1.31
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Defense_Aware,High,0.488,0.304,0.09,0.0,0.358,1.37
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Adaptive,Low,0.478,0.272,0.084,0.0,0.34,1.26
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Adaptive,Medium,0.506,0.272,0.084,0.0,0.376,1.31
P1,A2_Alert_Crafting,Data,Bundle_D1_D3_D4_D6,Adaptive,High,0.566,0.272,0.09,0.0,0.424,1.37
P1,A2_Alert_Crafting,Data,Bundle_All,Static,Low,0.232,0.372,0.118,0.0,0.186,1.43
P1,A2_Alert_Crafting,Data,Bundle_All,Static,Medium,0.266,0.372,0.124,0.0,0.214,1.48
P1,A2_Alert_Crafting,Data,Bundle_All,Static,High,0.32,0.372,0.134,0.0,0.232,1.54
P1,A2_Alert_Crafting,Data,Bundle_All,Defense_Aware,Low,0.31,0.336,0.118,0.0,0.228,1.43
P1,A2_Alert_Crafting,Data,Bundle_All,Defense_Aware,Medium,0.356,0.336,0.124,0.0,0.26,1.48
P1,A2_Alert_Crafting,Data,Bundle_All,Defense_Aware,High,0.432,0.336,0.134,0.0,0.3,1.54
P1,A2_Alert_Crafting,Data,Bundle_All,Adaptive,Low,0.398,0.304,0.118,0.0,0.292,1.43
P1,A2_Alert_Crafting,Data,Bundle_All,Adaptive,Medium,0.454,0.304,0.124,0.0,0.318,1.48
P1,A2_Alert_Crafting,Data,Bundle_All,Adaptive,High,0.488,0.304,0.134,0.0,0.36,1.54
P1,A3_Context_Poison,Data,No Defense,Static,Low,0.676,0.0,0.0,0.0,0.0,0.999
P1,A3_Context_Poison,Data,No Defense,Static,Medium,0.712,0.0,0.0,0.0,0.0,1.049
P1,A3_Context_Poison,Data,No Defense,Static,High,0.752,0.0,0.0,0.0,0.0,1.109
P1,A3_Context_Poison,Data,No Defense,Defense_Aware,Low,0.728,0.0,0.0,0.0,0.0,0.999
P1,A3_Context_Poison,Data,No Defense,Defense_Aware,Medium,0.77,0.0,0.0,0.0,0.0,1.049
P1,A3_Context_Poison,Data,No Defense,Defense_Aware,High,0.85,0.0,0.0,0.0,0.0,1.109
P1,A3_Context_Poison,Data,No Defense,Adaptive,Low,0.826,0.0,0.0,0.0,0.0,0.999
P1,A3_Context_Poison,Data,No Defense,Adaptive,Medium,0.864,0.0,0.0,0.0,0.0,1.049
P1,A3_Context_Poison,Data,No Defense,Adaptive,High,0.912,0.0,0.0,0.0,0.0,1.109
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Static,Low,0.542,0.194,0.046,0.0,0.0,1.079
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Static,Medium,0.57,0.194,0.054,0.0,0.0,1.129
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Static,High,0.624,0.194,0.056,0.0,0.0,1.189
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Defense_Aware,Low,0.608,0.156,0.046,0.0,0.0,1.079
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Defense_Aware,Medium,0.656,0.156,0.054,0.0,0.0,1.129
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Defense_Aware,High,0.692,0.156,0.056,0.0,0.0,1.189
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Adaptive,Low,0.684,0.122,0.046,0.0,0.0,1.079
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Adaptive,Medium,0.712,0.122,0.054,0.0,0.0,1.129
P1,A3_Context_Poison,Data,D1_Input_Sanitization,Adaptive,High,0.762,0.122,0.056,0.0,0.0,1.189
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Static,Low,0.476,0.166,0.012,0.0,0.0,1.059
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Static,Medium,0.53,0.166,0.012,0.0,0.0,1.109
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Static,High,0.572,0.166,0.012,0.0,0.0,1.169
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Defense_Aware,Low,0.56,0.132,0.012,0.0,0.0,1.059
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Defense_Aware,Medium,0.598,0.132,0.012,0.0,0.0,1.109
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Defense_Aware,High,0.656,0.132,0.012,0.0,0.0,1.169
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Adaptive,Low,0.64,0.09,0.012,0.0,0.0,1.059
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Adaptive,Medium,0.69,0.09,0.012,0.0,0.0,1.109
P1,A3_Context_Poison,Data,D2_Tool_Attestation,Adaptive,High,0.716,0.09,0.012,0.0,0.0,1.169
P1,A3_Context_Poison,Data,D3_Response_Verification,Static,Low,0.516,0.154,0.024,0.0,0.0,1.099
P1,A3_Context_Poison,Data,D3_Response_Verification,Static,Medium,0.56,0.154,0.026,0.0,0.0,1.149
P1,A3_Context_Poison,Data,D3_Response_Verification,Static,High,0.612,0.154,0.028,0.0,0.0,1.209
P1,A3_Context_Poison,Data,D3_Response_Verification,Defense_Aware,Low,0.578,0.122,0.024,0.0,0.0,1.099
P1,A3_Context_Poison,Data,D3_Response_Verification,Defense_Aware,Medium,0.632,0.122,0.026,0.0,0.0,1.149
P1,A3_Context_Poison,Data,D3_Response_Verification,Defense_Aware,High,0.686,0.122,0.028,0.0,0.0,1.209
P1,A3_Context_Poison,Data,D3_Response_Verification,Adaptive,Low,0.668,0.068,0.024,0.0,0.0,1.099
P1,A3_Context_Poison,Data,D3_Response_Verification,Adaptive,Medium,0.706,0.068,0.026,0.0,0.0,1.149
P1,A3_Context_Poison,Data,D3_Response_Verification,Adaptive,High,0.744,0.068,0.028,0.0,0.0,1.209
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Static,Low,0.528,0.138,0.014,0.0,0.0,1.069
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Static,Medium,0.568,0.138,0.018,0.0,0.0,1.119
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Static,High,0.626,0.138,0.02,0.0,0.0,1.179
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Defense_Aware,Low,0.6,0.102,0.014,0.0,0.0,1.069
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Defense_Aware,Medium,0.652,0.102,0.018,0.0,0.0,1.119
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Defense_Aware,High,0.698,0.102,0.02,0.0,0.0,1.179
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Adaptive,Low,0.682,0.054,0.014,0.0,0.0,1.069
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Adaptive,Medium,0.714,0.054,0.018,0.0,0.0,1.119
P1,A3_Context_Poison,Data,D4_Agent_Isolation,Adaptive,High,0.762,0.054,0.02,0.0,0.0,1.179
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Static,Low,0.502,0.178,0.062,0.0,0.0,1.159
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Static,Medium,0.548,0.178,0.062,0.0,0.0,1.209
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Static,High,0.58,0.178,0.066,0.0,0.0,1.269
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Defense_Aware,Low,0.566,0.144,0.062,0.0,0.0,1.159
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Defense_Aware,Medium,0.61,0.144,0.062,0.0,0.0,1.209
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Defense_Aware,High,0.664,0.144,0.066,0.0,0.0,1.269
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Adaptive,Low,0.652,0.104,0.062,0.0,0.0,1.159
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Adaptive,Medium,0.694,0.104,0.062,0.0,0.0,1.209
P1,A3_Context_Poison,Data,D5_Consensus_Protocol,Adaptive,High,0.718,0.104,0.066,0.0,0.0,1.269
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Static,Low,0.558,0.144,0.034,0.0,0.0,1.049
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Static,Medium,0.586,0.144,0.036,0.0,0.0,1.099
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Static,High,0.646,0.144,0.04,0.0,0.0,1.159
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Defense_Aware,Low,0.628,0.108,0.034,0.0,0.0,1.049
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Defense_Aware,Medium,0.67,0.108,0.036,0.0,0.0,1.099
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Defense_Aware,High,0.71,0.108,0.04,0.0,0.0,1.159
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Adaptive,Low,0.704,0.058,0.034,0.0,0.0,1.049
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Adaptive,Medium,0.728,0.058,0.036,0.0,0.0,1.099
P1,A3_Context_Poison,Data,D6_Behavioral_Monitor,Adaptive,High,0.784,0.058,0.04,0.0,0.0,1.159
P1,A3_Context_Poison,Data,Bundle_D1_D3_D4_D6,Static,Low,0.282,0.304,0.096,0.0,0.0,1.259
